Month,Year,album_name,album_artist,album_release_date,select_member,Genera,score,Blurb,album_length_minutes,track_count,avg_member_rating,discussion_attendance_count,standout_tracks,discussion_themes,new_discovery_for_most,selector_familiarity,would_recommend,discussion_duration,individual_ratings
January,2025,Blood Harmony,Larkin Poe,2022,Sam,Contemporary Blues,,,43,11,7.1,4,"Track 11, Track 2","rhythm, atmosphere",Yes,Old favorite,Maybe,36,"{'Jamie': 6.7, 'Claire': 8.0, 'Glenn': 8.6, 'Steph': 6.1}"
February,2025,Underdressed at The Symphony,Faye Webster,2024,Claire,Indie Rock,,,47,9,7.4,5,"Track 8, Track 8","innovation, energy",Yes,Old favorite,Maybe,48,"{'Steph': 7.7, 'Glenn': 7.0, 'Jamie': 8.8}"
February,2025,Little Girl Blue,Nina Simone,2013,Claire,Jazz,,,35,13,6.1,5,"Track 10, Track 7","emotion, storytelling",No,Familiar,No,25,"{'Jamie': 7.1, 'Claire': 7.1, 'Steph': 6.0, 'Sam': 5.8, 'Glenn': 5.4}"
February,2025,Fetch The Bolt Cutters,Fiona Apple,2020,Glenn,Art Pop,,,35,13,8.5,4,"Track 2, Track 5","innovation, energy",Yes,Familiar,Yes,58,"{'Jamie': 7.2, 'Glenn': 9.6, 'Sam': 9.4, 'Claire': 10.0, 'Steph': 10.0}"
February,2025,Hot Rats,Frank Zappa,1969,Glenn,"Jazz Fusion, Rock",,,48,17,8.4,4,"Track 2, Track 13","production, nostalgia",Yes,Familiar,Yes,54,"{'Glenn': 8.6, 'Claire': 9.2, 'Jamie': 9.7, 'Sam': 9.4, 'Steph': 7.6}"
February,2025,Otis Blue,Otis Redding,1965,Steph,"R&B, Blues, Rock, Soul",,,45,11,7.5,5,"Track 9, Track 5","production, nostalgia",No,Heard before,Yes,41,"{'Glenn': 7.4, 'Steph': 6.4, 'Jamie': 8.9, 'Claire': 7.8}"
February,2025,Ballonerism,Mac Miller,2025,Steph,Rap,,,28,13,7.0,5,"Track 7, Track 5","emotion, storytelling",No,New to me,Maybe,36,"{'Sam': 6.2, 'Jamie': 7.5, 'Claire': 7.4}"
February,2025,El Bueno y El Malo,Hermanos Gutiérrez,2022,Sam,"Ambient music, Intrumental Rock",,,32,9,6.0,4,"Track 2, Track 4","emotion, storytelling",No,Familiar,No,26,"{'Claire': 5.6, 'Glenn': 4.8, 'Jamie': 6.5, 'Steph': 6.1, 'Sam': 6.8}"
February,2025,The Art of Intimacy Vol 1,Jeremy Pelt,2020,Sam,Jazz,,,48,17,6.7,3,"Track 5, Track 3","cultural impact, history",Yes,Familiar,Maybe,25,"{'Sam': 6.8, 'Glenn': 7.8, 'Steph': 6.9, 'Jamie': 6.9, 'Claire': 7.8}"
March ,2025,Kingdom in My Mind,Wood Brothers,2020,Sam,"Country, Rock",,,27,19,8.2,3,"Track 4, Track 15","rhythm, atmosphere",Yes,Familiar,Yes,48,"{'Steph': 7.9, 'Jamie': 7.1, 'Sam': 6.8}"
March ,2025,Creedence Clearwater Revival,Creedence Clearwater Revival,1968,Sam,"Rock, Blues Rock, Swamp Rock",,,46,9,7.3,4,"Track 6, Track 9","cultural impact, history",Yes,Familiar,Maybe,42,"{'Sam': 8.1, 'Jamie': 7.7, 'Claire': 7.9}"
March ,2025,Over-Nite Sensation,Frank Zappa and The Mothers of Invention,1973,Steph,"Rock, Jazz Fusion, Prog Rock",,,45,17,7.1,3,"Track 7, Track 16","rhythm, atmosphere",Yes,Familiar,Maybe,38,"{'Jamie': 6.2, 'Sam': 6.0, 'Glenn': 5.6, 'Steph': 6.7}"
March ,2025,"Blood, Sweat & Tears","Blood, Sweat & Tears",1968,Steph,"Jazz Rock, Contemporary Pop Rock",,,26,11,8.0,4,"Track 2, Track 5","cultural impact, history",Yes,New to me,Yes,47,"{'Jamie': 8.3, 'Steph': 7.7, 'Sam': 7.8}"
March ,2025,OH (ohio),Lambchop,2008,Glenn,"Rock, Champer Pop",,,48,15,8.7,3,"Track 15, Track 3","innovation, energy",No,New to me,Yes,59,"{'Steph': 9.9, 'Jamie': 8.2, 'Glenn': 8.7, 'Sam': 9.6}"
March ,2025,Reachin' (A New Refutation of Time and Space),Digable Planets,1993,Glenn,"Hip-Hop, Jazz Rap",,,36,14,7.8,3,"Track 4, Track 14","emotion, storytelling",Yes,New to me,Yes,45,"{'Glenn': 7.5, 'Steph': 8.2, 'Claire': 8.9}"
March ,2025,LAHS,Allah-Las,2019,Claire,Alternative Indie,,,54,19,7.8,5,"Track 10, Track 2","production, nostalgia",No,Heard before,Yes,54,"{'Claire': 9.1, 'Glenn': 6.7, 'Sam': 9.1, 'Steph': 7.8, 'Jamie': 7.1}"
March ,2025,Walkin On A Pretty Daze,Kurt Vile,2013,Claire,"Indie Rock, Folk Rock, Psychedelic Rock",,,30,16,8.9,5,"Track 12, Track 1","rhythm, atmosphere",Yes,New to me,Yes,54,"{'Jamie': 8.8, 'Sam': 10.3, 'Steph': 8.9}"
March,2025,The Fool,Warpaint,2010,Jamie,"Alternative Rock, Art Rock, Psychedelic Rock, Progressive Rock",,,26,15,7.7,3,"Track 4, Track 4","rhythm, atmosphere",No,Familiar,Yes,39,"{'Claire': 7.2, 'Sam': 8.1, 'Steph': 6.9, 'Glenn': 6.4, 'Jamie': 6.6}"
April,2025,Breaks From The Boarder,The New Master Sounds,2011,Jamie,"Alternative Indie, R&B Soul",,,52,12,7.2,3,"Track 4, Track 5","production, nostalgia",Yes,Heard before,Maybe,32,"{'Jamie': 6.1, 'Claire': 6.2, 'Glenn': 6.1}"
April,2025,Aracdia,Alison Krauss & Union Station,2025,Sam,Bluegrass,,The latest good word just dropped from our lord and savior Alison Krauss,45,9,8.2,5,"Track 2, Track 2","cultural impact, history",Yes,Familiar,Yes,47,"{'Claire': 8.6, 'Jamie': 7.2, 'Sam': 7.7, 'Glenn': 9.4, 'Steph': 8.1}"
April,2025,The Miseducation of Lauryn Hill,Ms. Lauryn Hill,1998,Steph,Rap,,don’t know if i’ve ever listened to the whole thing and i came across a tiktok of someone saying it’s a perfect album,25,12,7.2,5,"Track 10, Track 12","rhythm, atmosphere",No,Heard before,Maybe,46,"{'Jamie': 7.7, 'Claire': 6.2, 'Glenn': 6.3}"
April,2025,Cupid Deluxe,Blood Orange,2013,Claire,"Funk, Contemporary R&B, Indie Pop",,,36,15,7.1,5,"Track 10, Track 9","instrumentation, vocals",Yes,Familiar,Maybe,33,"{'Jamie': 5.7, 'Glenn': 6.1, 'Sam': 6.4}"
April,2025,Appalachia Borealis,Phil Cook,2025,Glenn,Jazz,,,50,17,8.8,4,"Track 15, Track 7","innovation, energy",Yes,Heard before,Yes,67,"{'Steph': 7.8, 'Claire': 7.6, 'Glenn': 7.7, 'Sam': 8.7}"
May,2025,Live at The Cellar Door,The Seldom Scene,1975,Jamie,Bluegrass,,,46,16,7.2,3,"Track 12, Track 15","emotion, storytelling",No,New to me,Maybe,40,"{'Sam': 6.3, 'Jamie': 6.8, 'Claire': 7.2, 'Steph': 7.8, 'Glenn': 5.8}"
May,2025,"Sable, fABLE",Bon Iver,2025,Claire,"Pop music, Soul music, Soft rock, Contemporary R&B",,,53,19,6.0,5,"Track 6, Track 5","production, nostalgia",No,Heard before,No,10,"{'Jamie': 6.9, 'Sam': 6.4, 'Steph': 4.7}"
May,2025,Wide Awake!,Parquet Courts,2018,Glenn,Indie Rock,,,36,19,7.8,3,"Track 19, Track 17","emotion, storytelling",Yes,Familiar,Yes,56,"{'Glenn': 8.9, 'Steph': 9.1, 'Sam': 6.5, 'Jamie': 7.1, 'Claire': 8.7}"
May,2025,World Psychedelic Classics 5: Who Is William Onyeabor?,William Onyeabor,2013,Steph,Afro-funk electro-funk psychedelic funk reggae disco,,,49,19,7.1,4,"Track 16, Track 17","instrumentation, vocals",Yes,Heard before,Maybe,42,"{'Steph': 7.8, 'Claire': 6.2, 'Jamie': 6.2, 'Glenn': 6.7, 'Sam': 7.1}"
May,2025,Build Me Up From Bones,Sarah Jarosz,2013,Sam,"Blue Grass, Folk Music",,,41,16,7.2,4,"Track 14, Track 11","rhythm, atmosphere",Yes,Old favorite,Maybe,34,"{'Steph': 7.6, 'Jamie': 6.8, 'Claire': 7.1}"
June,2025,Preludes,Warren Zevon,2007,Jamie,Classic Rock,,,51,8,8.0,5,"Track 6, Track 6","rhythm, atmosphere",No,New to me,Yes,52,"{'Claire': 8.7, 'Steph': 6.6, 'Sam': 7.3, 'Jamie': 8.6}"
June,2025,Push Push (feat Duane Allman),Herbie Mann,1971,Glenn,Sexy Jazz,,,51,16,7.3,4,"Track 15, Track 13","instrumentation, vocals",Yes,Heard before,Maybe,32,"{'Sam': 8.5, 'Steph': 7.3, 'Claire': 7.4}"
June,2025,Long Time Coming,Sierra Ferrell,2021,Sam,"Bluegras, Folk",,,34,14,7.7,3,"Track 3, Track 2","production, nostalgia",Yes,Old favorite,Yes,38,"{'Jamie': 6.5, 'Claire': 7.5, 'Sam': 7.8, 'Glenn': 6.9, 'Steph': 7.0}"
June,2025,Dirty Mind,Prince,1980,Steph,"Funk, Contemporary R&B",,,52,16,6.0,5,"Track 11, Track 11","innovation, energy",Yes,Heard before,No,15,"{'Steph': 5.6, 'Claire': 4.6, 'Glenn': 5.5}"
June,2025,Song to a Seagull,Joni Mitchell,1968,Claire,Folk,,,52,15,6.6,3,"Track 10, Track 14","lyrics, melody",Yes,Heard before,Maybe,36,"{'Sam': 5.7, 'Steph': 6.1, 'Glenn': 5.5, 'Jamie': 7.8}"
July,2025,Stuff,Stuff,1976,Jamie,Jazz Funk,,,40,8,8.9,3,"Track 7, Track 6","production, nostalgia",No,Heard before,Yes,64,"{'Sam': 9.2, 'Steph': 9.4, 'Claire': 9.8, 'Jamie': 8.9}"
July,2025,Summertime'06,Vince Staples,2015,Glenn,Hip-Hop,,,39,19,7.5,4,"Track 9, Track 5","lyrics, melody",Yes,Heard before,Yes,38,"{'Sam': 6.3, 'Glenn': 7.6, 'Jamie': 7.8}"
July,2025,Dixie Chicken,Little Feat,1973,Sam,Blues Rock,,,54,15,6.0,4,"Track 2, Track 3","instrumentation, vocals",No,Familiar,No,19,"{'Steph': 6.7, 'Glenn': 5.8, 'Sam': 4.9}"
July,2025,Maggot Brain,Funkadelic,1971,Steph,Funk,,,54,15,6.4,4,"Track 3, Track 11","cultural impact, history",Yes,New to me,No,34,"{'Jamie': 5.8, 'Sam': 6.0, 'Glenn': 6.8}"
July,2025,Slow Burn,Baby Rose + BADBADNOTGOOD,2024,Claire,"Soul, R&B, Psychedelic Rock",,,39,18,6.5,4,"Track 16, Track 7","lyrics, melody",Yes,New to me,Maybe,23,"{'Jamie': 6.7, 'Steph': 6.1, 'Sam': 8.0, 'Claire': 6.8}"
August,2025,Pleasure,Young Gun Silver Fox,2025,Jamie,"Pop Music, Rock",,,54,10,7.6,4,"Track 7, Track 3","innovation, energy",Yes,Heard before,Yes,35,"{'Claire': 6.8, 'Steph': 6.4, 'Jamie': 6.6}"
August,2025,World Music,Goat,2012,Glenn,Psychedelic Rock,,,43,8,7.1,5,"Track 8, Track 3","cultural impact, history",Yes,Old favorite,Maybe,38,"{'Glenn': 6.3, 'Sam': 6.1, 'Claire': 6.2, 'Jamie': 6.5, 'Steph': 6.1}"
August,2025,Passover,The Black Angles,2006,Sam,Psychedelic Rock,,,36,15,6.8,3,"Track 7, Track 5","lyrics, melody",No,Heard before,Maybe,34,"{'Steph': 8.0, 'Sam': 5.5, 'Claire': 6.9, 'Glenn': 6.5, 'Jamie': 8.2}"
August,2025,$10 Cowboy,Charley Crockett,2024,Steph,Country,,,47,10,7.5,3,"Track 2, Track 2","instrumentation, vocals",No,New to me,Yes,49,"{'Jamie': 6.3, 'Glenn': 7.2, 'Claire': 8.9, 'Steph': 8.6}"
August,2025,Headlights,Alex G,2025,Claire,Alternative Indie,,,44,10,8.0,3,"Track 7, Track 6","cultural impact, history",Yes,Familiar,Yes,59,"{'Claire': 9.0, 'Steph': 7.3, 'Jamie': 7.0, 'Sam': 8.5}"
September,2025,Marquee Moon,Television,1977,Jamie,"Punk Rock, New Wave, Art Rock",,,49,8,7.2,3,"Track 8, Track 7","instrumentation, vocals",No,Familiar,Maybe,35,"{'Claire': 8.5, 'Sam': 7.4, 'Steph': 7.4, 'Glenn': 6.5, 'Jamie': 8.0}"
September,2025,Live At The Filmore,Ozomatli,2005,Steph,Latin,,,27,18,6.9,4,"Track 8, Track 11","lyrics, melody",Yes,New to me,Maybe,31,"{'Claire': 6.0, 'Glenn': 6.4, 'Sam': 6.7}"
September,2025,In Rainbows,Radiohead,2007,Sam,Rock,,,29,12,7.1,3,"Track 3, Track 9","instrumentation, vocals",No,Heard before,Maybe,32,"{'Jamie': 7.1, 'Glenn': 6.3, 'Steph': 5.9}"
September,2025,Bury The Key,TOPS,2025,Glenn,Alternative Indie,,,43,17,7.8,5,"Track 10, Track 11","innovation, energy",Yes,Heard before,Yes,37,"{'Steph': 8.1, 'Glenn': 7.2, 'Jamie': 8.0}"
September,2025,Big Time,Angel Olsen,2022,Claire,Country,,,31,14,7.5,5,"Track 6, Track 12","lyrics, melody",Yes,Heard before,Yes,34,"{'Jamie': 6.5, 'Sam': 7.4, 'Claire': 7.6, 'Steph': 6.2}"
October,2025,Scene,Toshiki Soejima,2025,Sam,"Jazz, R&B",,,45,17,8.3,3,"Track 8, Track 2","lyrics, melody",Yes,Heard before,Yes,56,"{'Steph': 7.8, 'Sam': 7.2, 'Glenn': 7.0}"
October,2025,Tigers Blood,Waxahatchee,2024,Claire,Indie Rock,,,33,16,6.4,3,"Track 11, Track 7","lyrics, melody",Yes,New to me,No,32,"{'Steph': 7.9, 'Claire': 5.9, 'Sam': 7.3}"
October,2025,Burnover,Greg Freeman,2025,Glenn,Alternative Indie,,,31,19,6.7,5,"Track 18, Track 1","production, nostalgia",Yes,New to me,Maybe,20,"{'Claire': 6.0, 'Jamie': 7.2, 'Steph': 7.5, 'Glenn': 7.0, 'Sam': 6.6}"
October,2025,Getting Killed,Geese,2025,Jamie,"Indie Rock, Art Rock",,,42,14,8.3,5,"Track 7, Track 5","production, nostalgia",Yes,New to me,Yes,49,"{'Sam': 8.0, 'Claire': 7.8, 'Steph': 9.6, 'Jamie': 9.3, 'Glenn': 9.7}"
October,2025,Behind The Front,Black Eyed Peas,1998,Steph,Hip-Hop,,,28,16,6.7,4,"Track 16, Track 1","production, nostalgia",Yes,Old favorite,Maybe,25,"{'Glenn': 5.6, 'Sam': 7.4, 'Steph': 8.0, 'Jamie': 5.7}"
November,2025,Osibisa,Osibisa,1971,Steph,Afro Funk,,,49,15,8.9,5,"Track 14, Track 7","innovation, energy",Yes,Familiar,Yes,64,"{'Steph': 7.6, 'Claire': 9.6, 'Glenn': 9.1}"
November,2025,In These Times,Makaya McCraven,2022,Sam,Jazz,,,52,19,8.9,4,"Track 7, Track 4","cultural impact, history",No,Heard before,Yes,65,"{'Glenn': 9.9, 'Claire': 7.8, 'Sam': 9.8, 'Steph': 8.0, 'Jamie': 7.9}"
November,2025,Let It Hiss,The Barr Brothers,2025,Glenn,Alternative Indie,,,38,9,8.9,4,"Track 8, Track 1","instrumentation, vocals",Yes,Old favorite,Yes,65,"{'Claire': 7.9, 'Jamie': 9.8, 'Sam': 9.4}"
November,2025,"World Psychedelic Classics, Volume 4: The Existential Soul of Tim Maia: Nobody Can Live Forever",Tim Maia,2012,Jamie,Brazilian Soul,,,42,8,6.6,4,"Track 6, Track 2","rhythm, atmosphere",Yes,Familiar,Maybe,32,"{'Jamie': 6.7, 'Sam': 6.2, 'Glenn': 7.7, 'Claire': 6.3, 'Steph': 7.5}"
November,2025,Deciphering The Message,Makaya McCraven,2021,Claire,Jazz,,,50,14,7.6,4,"Track 2, Track 5","lyrics, melody",No,Heard before,Yes,48,"{'Glenn': 7.4, 'Steph': 7.2, 'Sam': 7.5, 'Jamie': 7.0}"
December,2025,The Nutcracker Suite,Duke Ellington,1960,Claire,Holiday,,,33,14,7.0,4,"Track 5, Track 9","instrumentation, vocals",No,Heard before,Maybe,35,"{'Steph': 7.7, 'Glenn': 7.0, 'Claire': 6.2, 'Jamie': 8.2}"
December,2025,Happy Holiday!,My Morning Jacket,2023,Jamie,Holiday,,,50,15,8.4,3,"Track 12, Track 3","lyrics, melody",Yes,New to me,Yes,50,"{'Jamie': 8.1, 'Sam': 8.5, 'Claire': 9.6}"
December,2025,Christmas,Bruce Cockburn,1993,Glenn,Holiday,,,45,12,9.2,5,"Track 10, Track 9","innovation, energy",Yes,New to me,Yes,60,"{'Claire': 9.6, 'Glenn': 8.1, 'Sam': 10.5, 'Jamie': 9.6, 'Steph': 8.7}"
December,2025,First Noel,Ibrahim Maalouf,2021,Sam,Holiday,,,26,10,8.4,4,"Track 5, Track 7","lyrics, melody",No,Familiar,Yes,48,"{'Jamie': 7.3, 'Claire': 9.3, 'Sam': 8.8}"
December,2025,Ella Wishes You A Swinging Christmas,Ella Fitzgerald,1960,Steph,Holiday,,,44,19,7.5,5,"Track 11, Track 17","production, nostalgia",Yes,Heard before,Yes,50,"{'Sam': 7.6, 'Jamie': 8.7, 'Claire': 8.4, 'Steph': 6.5}"
